mu_baseline,target_att,rho,study_end_week,power,mean_att,mean_se
0.5,0.02,0.9,52,0.04,0.019453634396177758,0.04925232613300365
0.5,0.05,0.5,52,0.24,0.04842880622219704,0.0490240168500372
0.5,0.05,0.7,52,0.22,0.05306980615222659,0.04898955218369658
0.5,0.05,0.9,52,0.1,0.040425130051869755,0.049610295096413806
0.5,0.08,0.5,52,0.36,0.07710114342173631,0.0475667082315522
0.5,0.08,0.7,52,0.5,0.0908287722434049,0.046814053003649256
0.5,0.08,0.9,52,0.34,0.08190912668191343,0.050616394548336226
0.5,0.1,0.5,52,0.48,0.1020207203657091,0.04991299237376451
0.5,0.1,0.7,52,0.36,0.09098391783578705,0.050481928537838575
0.5,0.1,0.9,52,0.4,0.09168197672969074,0.0498337581358976
0.5,0.12,0.5,52,0.64,0.11250098894810957,0.0506659149654967
0.5,0.12,0.7,52,0.6,0.11082867779236485,0.05087260701529387
0.5,0.12,0.9,52,0.58,0.1064093966824454,0.04936560626314264
0.5,0.15,0.5,52,0.78,0.13955655006037765,0.050690646123007464
0.5,0.15,0.7,52,0.78,0.14341282886867343,0.048990919062856915
0.5,0.15,0.9,52,0.84,0.14789564462913682,0.05108487372613063
0.5,0.2,0.5,52,0.96,0.19664111281993776,0.05109736535129793
0.5,0.2,0.7,52,0.96,0.18530226088183063,0.05091487848374154
0.5,0.2,0.9,52,0.98,0.19107928320299317,0.049806434369431433
0.5,0.25,0.5,52,0.98,0.2256388169420919,0.05012127123136177
0.5,0.25,0.7,52,1.0,0.2348074725288838,0.05172206510457428
0.5,0.25,0.9,52,0.98,0.23018050817293997,0.05096811999814358
0.5,0.3,0.5,52,1.0,0.26470819325603673,0.05168365687858875
0.5,0.3,0.7,52,1.0,0.26380134219326723,0.0526986863592502
0.5,0.3,0.9,52,1.0,0.26576397062821444,0.051514088952032105
0.5,0.4,0.5,52,1.0,0.33342506204112354,0.05642012090562218
0.5,0.4,0.7,52,1.0,0.3306148247631037,0.054399327441309576
0.5,0.4,0.9,52,1.0,0.3409550891583331,0.0544899820873407
0.6,0.02,0.5,52,0.06,0.0241454520098242,0.04899960660823574
0.6,0.02,0.7,52,0.04,0.015625379692081186,0.04979555954889716
0.6,0.02,0.9,52,0.12,0.028700829298171224,0.05025027555460573
0.6,0.05,0.5,52,0.16,0.05195810047824818,0.05041867602513689
0.6,0.05,0.7,52,0.08,0.048310597828846856,0.04943316183871195
0.6,0.05,0.9,52,0.2,0.04265919147341065,0.04846175276638927
0.6,0.08,0.5,52,0.3,0.08453461780675822,0.04939728467776828
0.6,0.08,0.7,52,0.46,0.09437650106090713,0.049447509643795955
0.6,0.08,0.9,52,0.36,0.07702410094213018,0.048499132197865925
0.6,0.1,0.5,52,0.38,0.0967147738372781,0.050177032905793305
0.6,0.1,0.7,52,0.4,0.0856560360297415,0.049419481443789826
0.6,0.1,0.9,52,0.52,0.0991102661035297,0.04915906028381258
0.6,0.12,0.5,52,0.56,0.11569366806521961,0.05111077045537219
0.6,0.12,0.7,52,0.56,0.11179399589001346,0.0503146952558257
0.6,0.12,0.9,52,0.7,0.11752121909840213,0.04834805655472185
0.6,0.15,0.5,52,0.66,0.14106019400590294,0.05078762512849434
0.6,0.15,0.7,52,0.88,0.1404878354481349,0.050256040777097596
0.6,0.15,0.9,52,0.68,0.13148581109969334,0.04988806465800974
0.6,0.2,0.5,52,0.96,0.1896046045223237,0.05128307497517321
0.6,0.2,0.7,52,1.0,0.18868967168991987,0.05065341770779309
0.6,0.2,0.9,52,0.9,0.18709761506336794,0.05173819736528054
0.6,0.25,0.5,52,0.98,0.22781601894955777,0.05027648949003962
0.6,0.25,0.7,52,0.98,0.2232103314240364,0.0517797930194127
0.6,0.25,0.9,52,0.98,0.20326324078364894,0.05115275034179884
0.6,0.3,0.5,52,1.0,0.2559700412560781,0.0528095810082016
0.6,0.3,0.7,52,1.0,0.2575255841973899,0.051741594885138104
0.6,0.3,0.9,52,1.0,0.2517552566223458,0.05258092186112507
0.6,0.4,0.5,52,1.0,0.31751493997020797,0.05471177999487357
0.6,0.4,0.7,52,1.0,0.31756704769043853,0.0572003855359926
0.6,0.4,0.9,52,1.0,0.31321428987853966,0.056383864703653544
